category,image_name,image_number,image_iter
Nonliving_Things,processed/house/house-3_7.png,3,7
Living_Things,processed/face/face-41_7.png,41,7
Nonliving_Things,processed/house/house-16_7.png,16,7
Nonliving_Things,processed/house/house-94_7.png,94,7
Living_Things,processed/face/face-76_7.png,76,7
Living_Things,processed/face/face-63_7.png,63,7
Nonliving_Things,processed/house/house-54_7.png,54,7
Living_Things,processed/face/face-31_7.png,31,7
Nonliving_Things,processed/house/house-59_7.png,59,7
Living_Things,processed/face/face-1_7.png,1,7
Living_Things,processed/face/face-50_7.png,50,7
Living_Things,processed/face/face-87_7.png,87,7
Nonliving_Things,processed/house/house-33_7.png,33,7
Living_Things,processed/face/face-84_7.png,84,7
Nonliving_Things,processed/house/house-29_7.png,29,7
Living_Things,processed/face/face-18_7.png,18,7
Living_Things,processed/face/face-57_7.png,57,7
Nonliving_Things,processed/house/house-68_7.png,68,7
Living_Things,processed/face/face-79_7.png,79,7
Nonliving_Things,processed/house/house-92_7.png,92,7
Nonliving_Things,processed/house/house-50_7.png,50,7
Living_Things,processed/face/face-70_7.png,70,7
Living_Things,processed/face/face-85_7.png,85,7
Nonliving_Things,processed/house/house-86_7.png,86,7
Living_Things,processed/face/face-92_7.png,92,7
Nonliving_Things,processed/house/house-67_7.png,67,7
Living_Things,processed/face/face-53_7.png,53,7
Nonliving_Things,processed/house/house-28_7.png,28,7
Living_Things,processed/face/face-11_7.png,11,7
Living_Things,processed/face/face-39_7.png,39,7
Living_Things,processed/face/face-24_7.png,24,7
Nonliving_Things,processed/house/house-8_7.png,8,7
Nonliving_Things,processed/house/house-17_7.png,17,7
Nonliving_Things,processed/house/house-65_7.png,65,7
Living_Things,processed/face/face-5_7.png,5,7
Living_Things,processed/face/face-78_7.png,78,7
Nonliving_Things,processed/house/house-10_7.png,10,7
Living_Things,processed/face/face-73_7.png,73,7
Living_Things,processed/face/face-86_7.png,86,7
Living_Things,processed/face/face-15_7.png,15,7
Nonliving_Things,processed/house/house-95_7.png,95,7
Living_Things,processed/face/face-27_7.png,27,7
Nonliving_Things,processed/house/house-26_7.png,26,7
Nonliving_Things,processed/house/house-77_7.png,77,7
Living_Things,processed/face/face-10_7.png,10,7
Nonliving_Things,processed/house/house-44_7.png,44,7
Living_Things,processed/face/face-21_7.png,21,7
Living_Things,processed/face/face-51_7.png,51,7
Nonliving_Things,processed/house/house-15_7.png,15,7
Nonliving_Things,processed/house/house-84_7.png,84,7
Nonliving_Things,processed/house/house-73_7.png,73,7
Nonliving_Things,processed/house/house-60_7.png,60,7
Living_Things,processed/face/face-72_7.png,72,7
Living_Things,processed/face/face-28_7.png,28,7
Nonliving_Things,processed/house/house-58_7.png,58,7
Living_Things,processed/face/face-56_7.png,56,7
Living_Things,processed/face/face-12_7.png,12,7
Nonliving_Things,processed/house/house-23_7.png,23,7
Living_Things,processed/face/face-8_7.png,8,7
Living_Things,processed/face/face-9_7.png,9,7
Nonliving_Things,processed/house/house-72_7.png,72,7
Nonliving_Things,processed/house/house-53_7.png,53,7
Living_Things,processed/face/face-89_7.png,89,7
Nonliving_Things,processed/house/house-64_7.png,64,7
Nonliving_Things,processed/house/house-22_7.png,22,7
Nonliving_Things,processed/house/house-83_7.png,83,7
Nonliving_Things,processed/house/house-88_7.png,88,7
Nonliving_Things,processed/house/house-91_7.png,91,7
Nonliving_Things,processed/house/house-31_7.png,31,7
Living_Things,processed/face/face-6_7.png,6,7
Living_Things,processed/face/face-22_7.png,22,7
Living_Things,processed/face/face-45_7.png,45,7
Nonliving_Things,processed/house/house-87_7.png,87,7
Nonliving_Things,processed/house/house-85_7.png,85,7
Nonliving_Things,processed/house/house-11_7.png,11,7
Living_Things,processed/face/face-19_7.png,19,7
Nonliving_Things,processed/house/house-70_7.png,70,7
Nonliving_Things,processed/house/house-5_7.png,5,7
Nonliving_Things,processed/house/house-47_7.png,47,7
Living_Things,processed/face/face-100_7.png,100,7
Living_Things,processed/face/face-91_7.png,91,7
Living_Things,processed/face/face-58_7.png,58,7
Living_Things,processed/face/face-46_7.png,46,7
Nonliving_Things,processed/house/house-63_7.png,63,7
Nonliving_Things,processed/house/house-99_7.png,99,7
Living_Things,processed/face/face-83_7.png,83,7
Nonliving_Things,processed/house/house-36_7.png,36,7
Living_Things,processed/face/face-90_7.png,90,7
Nonliving_Things,processed/house/house-43_7.png,43,7
Nonliving_Things,processed/house/house-19_7.png,19,7
Living_Things,processed/face/face-68_7.png,68,7
Nonliving_Things,processed/house/house-49_7.png,49,7
Nonliving_Things,processed/house/house-57_7.png,57,7
Nonliving_Things,processed/house/house-90_7.png,90,7
Living_Things,processed/face/face-32_7.png,32,7
Living_Things,processed/face/face-60_7.png,60,7
Living_Things,processed/face/face-88_7.png,88,7
Living_Things,processed/face/face-96_7.png,96,7
Living_Things,processed/face/face-43_7.png,43,7
Nonliving_Things,processed/house/house-14_7.png,14,7
