category,image_name,count
Living_Things,processed\face\male_18_20.png,20
Nonliving_Things,processed\house\House5_20.png,20
Nonliving_Things,processed\house\House38_20.png,20
Nonliving_Things,processed\house\House42_20.png,20
Living_Things,processed\face\male_24_20.png,20
Living_Things,processed\face\male_92_20.png,20
Living_Things,processed\face\male_21_20.png,20
Living_Things,processed\face\male_10_20.png,20
Living_Things,processed\face\female_40_20.png,20
Living_Things,processed\face\male_23_20.png,20
Nonliving_Things,processed\house\House48_20.png,20
Living_Things,processed\face\female_45_20.png,20
Nonliving_Things,processed\house\House96_20.png,20
Nonliving_Things,processed\house\House61_20.png,20
Living_Things,processed\face\male_57_20.png,20
Nonliving_Things,processed\house\House80_20.png,20
Nonliving_Things,processed\house\House99_20.png,20
Nonliving_Things,processed\house\House85_20.png,20
Living_Things,processed\face\female_28_20.png,20
Nonliving_Things,processed\house\House76_20.png,20
Living_Things,processed\face\female_39_20.png,20
Nonliving_Things,processed\house\3257831_House58_20.png,20
Nonliving_Things,processed\house\House11_20.png,20
Nonliving_Things,processed\house\House43_20.png,20
Nonliving_Things,processed\house\House41_20.png,20
Nonliving_Things,processed\house\House47_20.png,20
Nonliving_Things,processed\house\House90_20.png,20
Nonliving_Things,processed\house\House59_20.png,20
Nonliving_Things,processed\house\House57_20.png,20
Nonliving_Things,processed\house\House26_20.png,20
Living_Things,processed\face\female_55_20.png,20
Nonliving_Things,processed\house\House30_20.png,20
Nonliving_Things,processed\house\House51_20.png,20
Nonliving_Things,processed\house\House92_20.png,20
Nonliving_Things,processed\house\House77_20.png,20
Nonliving_Things,processed\house\House33_20.png,20
Living_Things,processed\face\male_32_20.png,20
Nonliving_Things,processed\house\House35_20.png,20
Nonliving_Things,processed\house\House73_20.png,20
Nonliving_Things,processed\house\3257813_House74_20.png,20
Living_Things,processed\face\male_53_20.png,20
Nonliving_Things,processed\house\House56_20.png,20
Nonliving_Things,processed\house\House95_20.png,20
Living_Things,processed\face\female_63_20.png,20
Nonliving_Things,processed\house\House100_20.png,20
Living_Things,processed\face\female_8_20.png,20
Living_Things,processed\face\female_78_20.png,20
Living_Things,processed\face\male_63_20.png,20
Living_Things,processed\face\male_4_20.png,20
Nonliving_Things,processed\house\House97_20.png,20
Nonliving_Things,processed\house\House84_20.png,20
Nonliving_Things,processed\house\House82_20.png,20
Nonliving_Things,processed\house\House24_20.png,20
Living_Things,processed\face\male_8_20.png,20
Nonliving_Things,processed\house\House98_20.png,20
Living_Things,processed\face\female_85_20.png,20
Living_Things,processed\face\female_44_20.png,20
Nonliving_Things,processed\house\House31_20.png,20
Living_Things,processed\face\male_74_20.png,20
Living_Things,processed\face\male_96_20.png,20
Living_Things,processed\face\female_52_20.png,20
Living_Things,processed\face\male_17_20.png,20
Living_Things,processed\face\male_43_20.png,20
Living_Things,processed\face\female_66_20.png,20
