category,image_name,image_number,image_iter,fixation_duration,fixation_blank_duration,delay_duration,resp_choices,delay_in_between,visb_choices,convert,corrAns
Nonliving_Things,processed/house/house-51_21.png,51,21,0.4177316320140303,0.9189450028763693,1.3560972077496256,nV_V,0.9729846122307741,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-67_21.png,67,21,0.42368114653939276,0.6964223358752188,1.1251872800046177,nV_V,0.761125596821485,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-23_21.png,23,21,0.49566373594750096,0.8627934968237605,1.7293063715739927,V_nV,0.9769856353138515,?,Living_Things-Nonliving_Things,2
Nonliving_Things,processed/house/house-73_21.png,73,21,0.2934309491804473,0.5533723328128839,1.0656257074395148,nV_V,0.8734901061554108,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-97_21.png,97,21,0.45468353241461773,0.9383556358722277,1.9479919209926337,nV_V,0.7419214719539428,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-72_21.png,72,21,0.3591372180867435,0.9169588366342745,1.0925470361286198,nV_V,0.6407488340541065,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-57_21.png,57,21,0.2509428657229751,0.559753243352451,1.9686299543851338,nV_V,0.8181793724764364,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-41_21.png,41,21,0.41189105801716586,0.8868456413013254,1.4718935011744567,V_nV,0.6000531187570766,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/house/house-26_21.png,26,21,0.42129392384475356,0.9361502612553645,1.527688215293614,V_nV,0.5677406793214377,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-99_21.png,99,21,0.4434342808895049,0.8569026132694716,1.3346633467700657,nV_V,0.6479214606787156,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-75_21.png,75,21,0.2619339928573767,0.7672451269261287,1.3223940191320334,V_nV,0.7025735081034368,?,Living_Things-Nonliving_Things,1
Living_Things,processed/face/face-8_21.png,8,21,0.3743268940821271,0.5140344446708573,1.065456433218152,nV_V,0.5119192241197864,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-82_21.png,82,21,0.3898153421750159,0.8709744393418297,1.890001375969447,nV_V,0.6173839214265946,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-10_21.png,10,21,0.33786656396768877,0.8459958619857817,1.356120478783926,V_nV,0.9324107310293068,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/house/house-72_21.png,72,21,0.319966534410009,0.6442226162672047,1.18849554189147,nV_V,0.8664925627266615,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-58_21.png,58,21,0.40562802166318773,0.6032292890052431,1.428146026183231,nV_V,0.8436129713181137,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-59_21.png,59,21,0.45072812605017615,0.6945802793371314,1.5350901996173858,nV_V,0.5856754223681653,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-52_21.png,52,21,0.435827834904201,0.6533571533099174,1.9333787018101747,V_nV,0.687442199203463,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-39_21.png,39,21,0.49465791778679213,0.5394475451382227,1.0144050917114371,nV_V,0.878362811584456,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-87_21.png,87,21,0.4432333451916848,0.6501698308709469,1.6103280779493465,nV_V,0.8698781346544233,?,Nonliving_Things-Living_Things,1
Nonliving_Things,processed/house/house-28_21.png,28,21,0.2707470729760842,0.8033265955585254,1.5412023483960064,nV_V,0.5013883007482866,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-6_21.png,6,21,0.3765011329445822,0.7650357446986495,1.6320241494032377,nV_V,0.6622455390339372,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-86_21.png,86,21,0.4142213234057963,0.5142143462647326,1.034729250932585,nV_V,0.560242400705464,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-69_21.png,69,21,0.3709831522503396,0.8669572349208625,1.6569711769986433,V_nV,0.898534643643204,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-20_21.png,20,21,0.33264041100640096,0.7802718843739888,1.2855829406141734,V_nV,0.5347562232673757,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/house/house-56_21.png,56,21,0.4292446612366092,0.6023129708727589,1.6487272510249542,V_nV,0.5560263447272678,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-93_21.png,93,21,0.3037903498327226,0.687859774028716,1.9797241594405117,nV_V,0.7471848332181998,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/house/house-67_21.png,67,21,0.47881535238236467,0.8560654723844199,1.3945215255249213,nV_V,0.8459432323471563,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-21_21.png,21,21,0.32150722813144206,0.8113252416783158,1.2001063463114807,V_nV,0.8357773294860436,?,Living_Things-Nonliving_Things,1
