category,image_name,count
Nonliving_Things,processed/house/House84_8.png,8
Living_Things,processed/face/female_31_8.png,8
Living_Things,processed/face/female_52_8.png,8
Nonliving_Things,processed/house/House95_8.png,8
Living_Things,processed/face/male_18_8.png,8
Living_Things,processed/face/male_23_8.png,8
Living_Things,processed/face/female_55_8.png,8
Living_Things,processed/face/male_53_8.png,8
Nonliving_Things,processed/house/House41_8.png,8
Living_Things,processed/face/male_3_8.png,8
Living_Things,processed/face/female_51_8.png,8
Living_Things,processed/face/female_60_8.png,8
Living_Things,processed/face/male_94_8.png,8
Living_Things,processed/face/female_50_8.png,8
Nonliving_Things,processed/house/House42_8.png,8
Nonliving_Things,processed/house/House62_8.png,8
Nonliving_Things,processed/house/House85_8.png,8
Nonliving_Things,processed/house/House68_8.png,8
Nonliving_Things,processed/house/House63_8.png,8
Nonliving_Things,processed/house/House30_8.png,8
Nonliving_Things,processed/house/House3_8.png,8
Living_Things,processed/face/male_81_8.png,8
Nonliving_Things,processed/house/House55_8.png,8
Nonliving_Things,processed/house/House21_8.png,8
Living_Things,processed/face/female_17_8.png,8
Nonliving_Things,processed/house/House59_8.png,8
Living_Things,processed/face/female_73_8.png,8
Living_Things,processed/face/female_8_8.png,8
Living_Things,processed/face/male_62_8.png,8
Living_Things,processed/face/female_65_8.png,8
Living_Things,processed/face/female_24_8.png,8
Nonliving_Things,processed/house/House54_8.png,8
Living_Things,processed/face/male_61_8.png,8
Nonliving_Things,processed/house/House45_8.png,8
Living_Things,processed/face/male_8_8.png,8
Living_Things,processed/face/female_27_8.png,8
Nonliving_Things,processed/house/House48_8.png,8
Nonliving_Things,processed/house/House52_8.png,8
Nonliving_Things,processed/house/House40_8.png,8
Nonliving_Things,processed/house/House37_8.png,8
Nonliving_Things,processed/house/House53_8.png,8
Living_Things,processed/face/male_43_8.png,8
Living_Things,processed/face/female_34_8.png,8
Living_Things,processed/face/female_61_8.png,8
Living_Things,processed/face/male_88_8.png,8
Living_Things,processed/face/male_72_8.png,8
Living_Things,processed/face/male_82_8.png,8
Living_Things,processed/face/male_10_8.png,8
Nonliving_Things,processed/house/House16_8.png,8
Living_Things,processed/face/male_75_8.png,8
Living_Things,processed/face/male_4_8.png,8
Living_Things,processed/face/male_5_8.png,8
Nonliving_Things,processed/house/House65_8.png,8
Living_Things,processed/face/female_95_8.png,8
Nonliving_Things,processed/house/House33_8.png,8
Living_Things,processed/face/female_100_8.png,8
Nonliving_Things,processed/house/House87_8.png,8
Living_Things,processed/face/female_80_8.png,8
Nonliving_Things,processed/house/House22_8.png,8
Nonliving_Things,processed/house/House17_8.png,8
Nonliving_Things,processed/house/House76_8.png,8
Nonliving_Things,processed/house/House91_8.png,8
Living_Things,processed/face/female_63_8.png,8
Nonliving_Things,processed/house/House47_8.png,8
Living_Things,processed/face/female_32_8.png,8
Living_Things,processed/face/female_87_8.png,8
Nonliving_Things,processed/house/House96_8.png,8
Nonliving_Things,processed/house/House26_8.png,8
Living_Things,processed/face/female_56_8.png,8
Living_Things,processed/face/male_57_8.png,8
Nonliving_Things,processed/house/House64_8.png,8
Nonliving_Things,processed/house/House71_8.png,8
Living_Things,processed/face/female_39_8.png,8
Nonliving_Things,processed/house/House24_8.png,8
Nonliving_Things,processed/house/House81_8.png,8
Living_Things,processed/face/male_63_8.png,8
Nonliving_Things,processed/house/House44_8.png,8
Living_Things,processed/face/female_66_8.png,8
Nonliving_Things,processed/house/House4_8.png,8
Nonliving_Things,processed/house/House93_8.png,8
Living_Things,processed/face/female_45_8.png,8
Living_Things,processed/face/female_14_8.png,8
Living_Things,processed/face/female_85_8.png,8
Nonliving_Things,processed/house/House35_8.png,8
Living_Things,processed/face/male_37_8.png,8
Living_Things,processed/face/male_24_8.png,8
Nonliving_Things,processed/house/House56_8.png,8
Living_Things,processed/face/male_69_8.png,8
Nonliving_Things,processed/house/House86_8.png,8
Living_Things,processed/face/female_89_8.png,8
Nonliving_Things,processed/house/House28_8.png,8
Living_Things,processed/face/male_1_8.png,8
Living_Things,processed/face/male_28_8.png,8
Nonliving_Things,processed/house/House89_8.png,8
Nonliving_Things,processed/house/House99_8.png,8
Nonliving_Things,processed/house/House39_8.png,8
Nonliving_Things,processed/house/House25_8.png,8
Nonliving_Things,processed/house/House6_8.png,8
Living_Things,processed/face/male_70_8.png,8
Living_Things,processed/face/female_44_8.png,8
