category,image_name,image_number,image_iter
Nonliving_Things,processed/house/house-24_11.png,24,11
Nonliving_Things,processed/house/house-62_11.png,62,11
Living_Things,processed/face/face-57_11.png,57,11
Living_Things,processed/face/face-69_11.png,69,11
Nonliving_Things,processed/house/house-91_11.png,91,11
Nonliving_Things,processed/house/house-7_11.png,7,11
Nonliving_Things,processed/house/house-43_11.png,43,11
Nonliving_Things,processed/house/house-56_11.png,56,11
Living_Things,processed/face/face-95_11.png,95,11
Living_Things,processed/face/face-52_11.png,52,11
Living_Things,processed/face/face-90_11.png,90,11
Nonliving_Things,processed/house/house-83_11.png,83,11
Living_Things,processed/face/face-79_11.png,79,11
Nonliving_Things,processed/house/house-57_11.png,57,11
Nonliving_Things,processed/house/house-100_11.png,100,11
Nonliving_Things,processed/house/house-92_11.png,92,11
Living_Things,processed/face/face-28_11.png,28,11
Nonliving_Things,processed/house/house-90_11.png,90,11
Nonliving_Things,processed/house/house-18_11.png,18,11
Nonliving_Things,processed/house/house-48_11.png,48,11
Nonliving_Things,processed/house/house-4_11.png,4,11
Living_Things,processed/face/face-16_11.png,16,11
Nonliving_Things,processed/house/house-46_11.png,46,11
Nonliving_Things,processed/house/house-64_11.png,64,11
Nonliving_Things,processed/house/house-77_11.png,77,11
Nonliving_Things,processed/house/house-15_11.png,15,11
Nonliving_Things,processed/house/house-65_11.png,65,11
Nonliving_Things,processed/house/house-52_11.png,52,11
Living_Things,processed/face/face-83_11.png,83,11
Nonliving_Things,processed/house/house-9_11.png,9,11
Living_Things,processed/face/face-91_11.png,91,11
Living_Things,processed/face/face-73_11.png,73,11
Living_Things,processed/face/face-76_11.png,76,11
Nonliving_Things,processed/house/house-78_11.png,78,11
Nonliving_Things,processed/house/house-94_11.png,94,11
Nonliving_Things,processed/house/house-26_11.png,26,11
Nonliving_Things,processed/house/house-54_11.png,54,11
Nonliving_Things,processed/house/house-73_11.png,73,11
Living_Things,processed/face/face-7_11.png,7,11
Nonliving_Things,processed/house/house-75_11.png,75,11
Nonliving_Things,processed/house/house-67_11.png,67,11
Nonliving_Things,processed/house/house-60_11.png,60,11
Living_Things,processed/face/face-59_11.png,59,11
Nonliving_Things,processed/house/house-32_11.png,32,11
Nonliving_Things,processed/house/house-96_11.png,96,11
Nonliving_Things,processed/house/house-44_11.png,44,11
Living_Things,processed/face/face-23_11.png,23,11
Nonliving_Things,processed/house/house-53_11.png,53,11
Nonliving_Things,processed/house/house-14_11.png,14,11
Living_Things,processed/face/face-1_11.png,1,11
Living_Things,processed/face/face-27_11.png,27,11
Living_Things,processed/face/face-2_11.png,2,11
Nonliving_Things,processed/house/house-72_11.png,72,11
Nonliving_Things,processed/house/house-42_11.png,42,11
Living_Things,processed/face/face-14_11.png,14,11
Nonliving_Things,processed/house/house-36_11.png,36,11
Living_Things,processed/face/face-62_11.png,62,11
Living_Things,processed/face/face-31_11.png,31,11
Living_Things,processed/face/face-50_11.png,50,11
Living_Things,processed/face/face-54_11.png,54,11
Living_Things,processed/face/face-65_11.png,65,11
Living_Things,processed/face/face-61_11.png,61,11
Nonliving_Things,processed/house/house-58_11.png,58,11
Living_Things,processed/face/face-18_11.png,18,11
Living_Things,processed/face/face-45_11.png,45,11
Living_Things,processed/face/face-86_11.png,86,11
Living_Things,processed/face/face-29_11.png,29,11
Living_Things,processed/face/face-34_11.png,34,11
Nonliving_Things,processed/house/house-31_11.png,31,11
Nonliving_Things,processed/house/house-84_11.png,84,11
Nonliving_Things,processed/house/house-99_11.png,99,11
Living_Things,processed/face/face-10_11.png,10,11
Nonliving_Things,processed/house/house-55_11.png,55,11
Nonliving_Things,processed/house/house-63_11.png,63,11
Living_Things,processed/face/face-19_11.png,19,11
Nonliving_Things,processed/house/house-76_11.png,76,11
Nonliving_Things,processed/house/house-35_11.png,35,11
Nonliving_Things,processed/house/house-49_11.png,49,11
Living_Things,processed/face/face-30_11.png,30,11
Nonliving_Things,processed/house/house-80_11.png,80,11
Living_Things,processed/face/face-8_11.png,8,11
Nonliving_Things,processed/house/house-34_11.png,34,11
Nonliving_Things,processed/house/house-13_11.png,13,11
Living_Things,processed/face/face-56_11.png,56,11
Living_Things,processed/face/face-89_11.png,89,11
Nonliving_Things,processed/house/house-8_11.png,8,11
Living_Things,processed/face/face-78_11.png,78,11
Living_Things,processed/face/face-77_11.png,77,11
Nonliving_Things,processed/house/house-5_11.png,5,11
Living_Things,processed/face/face-37_11.png,37,11
Living_Things,processed/face/face-80_11.png,80,11
Nonliving_Things,processed/house/house-1_11.png,1,11
Living_Things,processed/face/face-53_11.png,53,11
Nonliving_Things,processed/house/house-87_11.png,87,11
Living_Things,processed/face/face-51_11.png,51,11
Living_Things,processed/face/face-12_11.png,12,11
Living_Things,processed/face/face-68_11.png,68,11
Living_Things,processed/face/face-43_11.png,43,11
Living_Things,processed/face/face-41_11.png,41,11
Nonliving_Things,processed/house/house-51_11.png,51,11
