category,image_name,count
Living_Things,processed\face\male_18_1.png,1
Nonliving_Things,processed\house\House5_1.png,1
Nonliving_Things,processed\house\House38_1.png,1
Nonliving_Things,processed\house\House42_1.png,1
Living_Things,processed\face\male_24_1.png,1
Living_Things,processed\face\male_92_1.png,1
Living_Things,processed\face\male_21_1.png,1
Living_Things,processed\face\male_10_1.png,1
Living_Things,processed\face\female_40_1.png,1
Living_Things,processed\face\male_23_1.png,1
Nonliving_Things,processed\house\House48_1.png,1
Living_Things,processed\face\female_45_1.png,1
Nonliving_Things,processed\house\House96_1.png,1
Nonliving_Things,processed\house\House61_1.png,1
Living_Things,processed\face\male_57_1.png,1
Nonliving_Things,processed\house\House80_1.png,1
Nonliving_Things,processed\house\House99_1.png,1
Nonliving_Things,processed\house\House85_1.png,1
Living_Things,processed\face\female_28_1.png,1
Nonliving_Things,processed\house\House76_1.png,1
Living_Things,processed\face\female_39_1.png,1
Nonliving_Things,processed\house\3257831_House58_1.png,1
Nonliving_Things,processed\house\House11_1.png,1
Nonliving_Things,processed\house\House43_1.png,1
Nonliving_Things,processed\house\House41_1.png,1
Nonliving_Things,processed\house\House47_1.png,1
Nonliving_Things,processed\house\House90_1.png,1
Nonliving_Things,processed\house\House59_1.png,1
Nonliving_Things,processed\house\House57_1.png,1
Nonliving_Things,processed\house\House26_1.png,1
Living_Things,processed\face\female_55_1.png,1
Nonliving_Things,processed\house\House30_1.png,1
Nonliving_Things,processed\house\House51_1.png,1
Nonliving_Things,processed\house\House92_1.png,1
Nonliving_Things,processed\house\House77_1.png,1
Nonliving_Things,processed\house\House33_1.png,1
Living_Things,processed\face\male_32_1.png,1
Nonliving_Things,processed\house\House35_1.png,1
Nonliving_Things,processed\house\House73_1.png,1
Nonliving_Things,processed\house\3257813_House74_1.png,1
Living_Things,processed\face\male_53_1.png,1
Nonliving_Things,processed\house\House56_1.png,1
Nonliving_Things,processed\house\House95_1.png,1
Living_Things,processed\face\female_63_1.png,1
Nonliving_Things,processed\house\House100_1.png,1
Living_Things,processed\face\female_8_1.png,1
Living_Things,processed\face\female_78_1.png,1
Living_Things,processed\face\male_63_1.png,1
Living_Things,processed\face\male_4_1.png,1
Nonliving_Things,processed\house\House97_1.png,1
Nonliving_Things,processed\house\House84_1.png,1
Nonliving_Things,processed\house\House82_1.png,1
Nonliving_Things,processed\house\House24_1.png,1
Living_Things,processed\face\male_8_1.png,1
Nonliving_Things,processed\house\House98_1.png,1
Living_Things,processed\face\female_85_1.png,1
Living_Things,processed\face\female_44_1.png,1
Nonliving_Things,processed\house\House31_1.png,1
Living_Things,processed\face\male_74_1.png,1
Living_Things,processed\face\male_96_1.png,1
