category,image_name,image_number,image_iter
Nonliving_Things,processed/house/house-2_5.png,2,5
Nonliving_Things,processed/house/house-37_5.png,37,5
Living_Things,processed/face/face-57_5.png,57,5
Living_Things,processed/face/face-70_5.png,70,5
Nonliving_Things,processed/house/house-23_5.png,23,5
Nonliving_Things,processed/house/house-24_5.png,24,5
Nonliving_Things,processed/house/house-51_5.png,51,5
Nonliving_Things,processed/house/house-52_5.png,52,5
Living_Things,processed/face/face-26_5.png,26,5
Living_Things,processed/face/face-21_5.png,21,5
Living_Things,processed/face/face-37_5.png,37,5
Nonliving_Things,processed/house/house-87_5.png,87,5
Living_Things,processed/face/face-11_5.png,11,5
Nonliving_Things,processed/house/house-91_5.png,91,5
Nonliving_Things,processed/house/house-82_5.png,82,5
Nonliving_Things,processed/house/house-75_5.png,75,5
Living_Things,processed/face/face-83_5.png,83,5
Nonliving_Things,processed/house/house-81_5.png,81,5
Nonliving_Things,processed/house/house-47_5.png,47,5
Nonliving_Things,processed/house/house-13_5.png,13,5
Nonliving_Things,processed/house/house-46_5.png,46,5
Living_Things,processed/face/face-76_5.png,76,5
Nonliving_Things,processed/house/house-97_5.png,97,5
Nonliving_Things,processed/house/house-14_5.png,14,5
Nonliving_Things,processed/house/house-74_5.png,74,5
Nonliving_Things,processed/house/house-3_5.png,3,5
Nonliving_Things,processed/house/house-31_5.png,31,5
Nonliving_Things,processed/house/house-64_5.png,64,5
Living_Things,processed/face/face-45_5.png,45,5
Nonliving_Things,processed/house/house-25_5.png,25,5
Living_Things,processed/face/face-84_5.png,84,5
Living_Things,processed/face/face-56_5.png,56,5
Living_Things,processed/face/face-4_5.png,4,5
Nonliving_Things,processed/house/house-56_5.png,56,5
Nonliving_Things,processed/house/house-1_5.png,1,5
Nonliving_Things,processed/house/house-89_5.png,89,5
Nonliving_Things,processed/house/house-80_5.png,80,5
Nonliving_Things,processed/house/house-58_5.png,58,5
Living_Things,processed/face/face-78_5.png,78,5
Nonliving_Things,processed/house/house-59_5.png,59,5
Nonliving_Things,processed/house/house-93_5.png,93,5
Nonliving_Things,processed/house/house-63_5.png,63,5
Living_Things,processed/face/face-31_5.png,31,5
Nonliving_Things,processed/house/house-44_5.png,44,5
Nonliving_Things,processed/house/house-5_5.png,5,5
Nonliving_Things,processed/house/house-7_5.png,7,5
Living_Things,processed/face/face-69_5.png,69,5
Nonliving_Things,processed/house/house-45_5.png,45,5
Nonliving_Things,processed/house/house-72_5.png,72,5
Living_Things,processed/face/face-13_5.png,13,5
Living_Things,processed/face/face-7_5.png,7,5
Living_Things,processed/face/face-20_5.png,20,5
Nonliving_Things,processed/house/house-28_5.png,28,5
Nonliving_Things,processed/house/house-27_5.png,27,5
Living_Things,processed/face/face-24_5.png,24,5
Nonliving_Things,processed/house/house-21_5.png,21,5
Living_Things,processed/face/face-73_5.png,73,5
Living_Things,processed/face/face-51_5.png,51,5
Living_Things,processed/face/face-99_5.png,99,5
Living_Things,processed/face/face-85_5.png,85,5
Living_Things,processed/face/face-52_5.png,52,5
Living_Things,processed/face/face-66_5.png,66,5
Nonliving_Things,processed/house/house-41_5.png,41,5
Living_Things,processed/face/face-5_5.png,5,5
Living_Things,processed/face/face-34_5.png,34,5
Living_Things,processed/face/face-49_5.png,49,5
Living_Things,processed/face/face-60_5.png,60,5
Living_Things,processed/face/face-38_5.png,38,5
Nonliving_Things,processed/house/house-42_5.png,42,5
Nonliving_Things,processed/house/house-43_5.png,43,5
Nonliving_Things,processed/house/house-32_5.png,32,5
Living_Things,processed/face/face-92_5.png,92,5
Nonliving_Things,processed/house/house-99_5.png,99,5
Nonliving_Things,processed/house/house-53_5.png,53,5
Living_Things,processed/face/face-82_5.png,82,5
Nonliving_Things,processed/house/house-55_5.png,55,5
Nonliving_Things,processed/house/house-26_5.png,26,5
Nonliving_Things,processed/house/house-95_5.png,95,5
Living_Things,processed/face/face-43_5.png,43,5
Nonliving_Things,processed/house/house-66_5.png,66,5
Living_Things,processed/face/face-18_5.png,18,5
Nonliving_Things,processed/house/house-71_5.png,71,5
Nonliving_Things,processed/house/house-61_5.png,61,5
Living_Things,processed/face/face-23_5.png,23,5
Living_Things,processed/face/face-3_5.png,3,5
Nonliving_Things,processed/house/house-73_5.png,73,5
Living_Things,processed/face/face-17_5.png,17,5
Living_Things,processed/face/face-93_5.png,93,5
Nonliving_Things,processed/house/house-85_5.png,85,5
Living_Things,processed/face/face-65_5.png,65,5
Living_Things,processed/face/face-46_5.png,46,5
Nonliving_Things,processed/house/house-22_5.png,22,5
Living_Things,processed/face/face-80_5.png,80,5
Nonliving_Things,processed/house/house-57_5.png,57,5
Living_Things,processed/face/face-2_5.png,2,5
Living_Things,processed/face/face-64_5.png,64,5
Living_Things,processed/face/face-47_5.png,47,5
Living_Things,processed/face/face-55_5.png,55,5
Living_Things,processed/face/face-6_5.png,6,5
Nonliving_Things,processed/house/house-29_5.png,29,5
